Stnr;Dato;RR;TAM;TAN;TAX
25840;09.05.1970;0;1.5;-2;5.2
25840;10.05.1970;0;3;-0.3;7.5
25840;11.05.1970;0;2.8;-1;8.7
25840;12.05.1970;0;4.4;0.2;9.6
25840;13.05.1970;0;3.2;-2.5;10.4
25840;14.05.1970;0;2.1;-3.6;7.9
25840;15.05.1970;0;0.9;-4.4;7
25840;16.05.1970;0;3.4;0.6;6.1
25840;17.05.1970;0;0.9;-2.2;6.1
25840;18.05.1970;0;-0.5;-3.2;3.5
25840;19.05.1970;9.3;-1.4;-2;2.3
25840;20.05.1970;4.9;-1.4;-4.5;2.5
25840;21.05.1970;1.4;-0.9;-2.2;2.9
25840;22.05.1970;10.8;0.3;-1.9;4.5
25840;23.05.1970;0;-3;-6.9;0.2
25840;24.05.1970;0;1.5;-2.1;6.1
25840;25.05.1970;1.3;2.5;1.8;3.9
25840;26.05.1970;3.3;1.7;0.5;2.9
25840;27.05.1970;0.1;3.2;-2.1;8
25840;28.05.1970;0;5;-0.6;8.6
25840;29.05.1970;0;2.6;1.8;5.7
25840;30.05.1970;8.4;3.6;1.7;6.7
25840;31.05.1970;8;1.9;0.2;6.7
25840;01.06.1970;0.3;0.6;-0.5;3.2
25840;02.06.1970;1.2;-0.3;-3.5;3.4
25840;03.06.1970;0;4.3;-3.1;10.4
25840;04.06.1970;0;7.3;0.3;14.2
25840;05.06.1970;0;7.7;3;13.6
25840;06.06.1970;0;7.8;-0.2;17.1
25840;07.06.1970;0;6.9;4.3;14.9
25840;08.06.1970;0;7.5;2;12.7
25840;09.06.1970;0;10.7;4.9;16.1
25840;10.06.1970;0;9.1;2.6;15.8
25840;11.06.1970;0;8.2;5.6;13.5
25840;12.06.1970;0;2.9;0.3;8.8
25840;13.06.1970;0;7.7;1.8;13
25840;14.06.1970;0;5.5;1.5;12.3
25840;15.06.1970;0;9.2;2.2;15
25840;16.06.1970;0;10.2;2.2;18
25840;17.06.1970;0;11.1;5.3;17.1
25840;18.06.1970;0;12.6;5.1;19.1
25840;19.06.1970;0;13.6;6;20.7
25840;20.06.1970;0;12.6;6;19
25840;21.06.1970;0;10.8;8.5;13.5
25840;22.06.1970;0;10.7;3.9;18.2
25840;23.06.1970;8.6;10.7;8.6;15.6
25840;24.06.1970;8.1;9.4;6.4;13.2
25840;25.06.1970;2.2;6.9;4;9.8
25840;26.06.1970;6.8;4;2.2;6.1
25840;27.06.1970;2.3;8.1;1.2;14.5
25840;28.06.1970;0;7.1;5.9;13.7
25840;29.06.1970;48.1;7.1;4.9;8.8
25840;30.06.1970;6.4;7.5;6.4;9.6
25840;01.07.1970;13.6;4.4;3;8.1
25840;02.07.1970;3.6;5.7;4;8.5
25840;03.07.1970;4.3;6.3;5.2;9
25840;04.07.1970;6.7;4.6;4;7.3
25840;05.07.1970;0.4;2.8;2;4.2
25840;06.07.1970;4.3;2.5;0.4;7.8
25840;07.07.1970;14.3;3.1;1.5;5.3
25840;08.07.1970;0.8;9;1.8;17
25840;09.07.1970;0;11.3;9.6;17
25840;10.07.1970;15.3;4.2;2.4;11.1
